"","prediction_date","actual_start","actual_end","week_start","week_end","lag","period","rmse_pred_Basic","rmse_pred_HLAGC","rmse_pred_HLAGOO","rmse_pred_HLAGELEM","rmse_pred_week_means","best_method"
"1",18922,18550,18915,18909,18915,10,7,1.30182113391158,1.26072335208956,1.37828885717507,1.3370746126779,1.2850938588565,"HLAGC"
"2",18923,18551,18916,18910,18916,10,7,4.5496985904066,4.44790630876921,4.47813836014174,4.43112099556247,4.71912132830944,"HLAGELEM"
"3",18924,18552,18917,18911,18917,10,7,4.24202878823473,4.12702611493254,4.23873127087845,4.1631886750422,4.49170856887504,"HLAGC"
"4",18925,18553,18918,18912,18918,10,7,1.66081508278421,1.58451019109474,1.77844726456118,1.73157458271313,1.42329472500767,"week_means"
"5",18926,18554,18919,18913,18919,10,7,1.55287098264336,1.56529360128402,1.5843235113349,1.61338934674179,1.66114585822062,"Basic"
"6",18927,18555,18920,18914,18920,10,7,1.23797203197811,1.22979428438968,1.40224873930198,1.26159950354844,1.30643050329538,"HLAGC"
"7",18928,18556,18921,18915,18921,10,7,1.93624768515723,1.87569686596921,1.89089095659925,1.92668430565689,1.93373571480673,"HLAGC"
"8",18929,18557,18922,18916,18922,10,7,1.1876967710621,1.10256857015135,1.3080942919463,1.27340532654977,1.07113664589934,"week_means"
"9",18930,18558,18923,18917,18923,10,7,2.75118387479142,2.67190666428689,3.31951460459499,2.88995823769969,3.98386817423669,"HLAGC"
"10",18931,18559,18924,18918,18924,10,7,2.46391797733375,2.58799068595866,3.3259513857159,2.85986110530328,3.33946434983238,"Basic"
